4.133;-46.44;-0.809;18.01;9.697
4.167;-45.52;-0.440;27.71;11.77
4.200;-44.59;-2.412E-2;28.40;13.16
4.233;-43.62;0.438;29.78;15.24
4.267;-42.61;0.992;27.71;14.55
4.300;-41.78;1.407;26.32;13.85
4.333;-40.85;1.915;24.93;12.47
4.367;-40.11;2.238;25.63;11.77
4.400;-39.14;2.700;26.32;13.16
4.433;-38.36;3.116;24.93;11.77
4.467;-37.48;3.485;24.93;11.77
4.500;-36.70;3.901;24.24;12.47
4.533;-35.87;4.316;24.93;11.08
4.567;-35.04;4.640;25.63;9.004
4.600;-34.16;4.917;23.55;10.39
4.633;-33.47;5.332;21.47;11.77
4.667;-32.73;5.702;21.47;9.697
4.700;-32.03;5.979;22.16;9.697
4.733;-31.25;6.348;22.86;8.312
4.767;-30.51;6.533;21.47;6.926
4.800;-29.82;6.810;22.16;7.619
4.833;-29.03;7.041;23.55;7.619
4.867;-28.25;7.318;20.09;7.619
4.900;-27.69;7.549;19.39;6.926
4.933;-26.95;7.780;19.39;6.926
4.967;-26.40;8.010;17.32;6.234
5.000;-25.80;8.195;19.39;5.541
5.033;-25.11;8.380;20.09;5.541
5.067;-24.46;8.565;18.70;4.848
5.100;-23.86;8.703;17.32;4.848
5.133;-23.31;8.888;16.62;4.156
5.167;-22.75;8.980;16.62;3.463
5.200;-22.20;9.119;17.32;5.541
5.233;-21.60;9.350;18.70;3.463
5.267;-20.95;9.350;17.32;2.078
5.300;-20.44;9.488;15.24;3.463
5.333;-19.94;9.580;16.62;2.078
5.367;-19.34;9.627;15.93;3.463
5.400;-18.87;9.811;15.93;3.463
5.433;-18.27;9.857;18.01;1.385
5.467;-17.67;9.904;15.24;3.722E-14
5.500;-17.26;9.857;13.16;-1.385
5.533;-16.80;9.811;13.16;0.693
5.567;-16.38;9.904;13.16;2.078
5.600;-15.92;9.950;15.24;3.722E-14
5.633;-15.36;9.904;15.24;0.693
5.667;-14.90;9.996;13.85;3.384E-14
5.700;-14.44;9.904;15.24;-1.385
5.733;-13.89;9.904;13.16;0.693
5.767;-13.56;9.950;10.39;-0.693
5.800;-13.19;9.857;13.85;-2.078
5.833;-12.64;9.811;13.85;3.384E-14
5.867;-12.27;9.857;12.47;-2.078
5.900;-11.81;9.673;13.16;-3.463
5.933;-11.39;9.627;13.85;-2.771
5.967;-10.89;9.488;12.47;-2.078
6.000;-10.56;9.488;11.08;-0.693
6.033;-10.15;9.442;12.47;-2.771
6.067;-9.731;9.303;11.77;-4.156
6.100;-9.361;9.165;11.77;-2.771
6.133;-8.946;9.119;11.77;-2.771
6.167;-8.576;8.980;11.77;-4.156
6.200;-8.161;8.842;12.47;-4.156
6.233;-7.745;8.703;13.16;-4.848
6.267;-7.283;8.518;11.08;-4.848
6.300;-7.006;8.380;9.697;-3.463
6.333;-6.637;8.288;11.08;-5.541
6.367;-6.268;8.010;11.77;-6.234
6.400;-5.852;7.872;11.08;-5.541
6.433;-5.529;7.641;11.08;-5.541
6.467;-5.113;7.503;11.08;-5.541
6.500;-4.790;7.272;11.77;-6.926
6.533;-4.328;7.041;10.39;-6.234
6.567;-4.097;6.856;8.312;-6.234
6.600;-3.774;6.625;9.697;-6.234
6.633;-3.451;6.440;12.47;-6.234
6.667;-2.943;6.210;11.77;-8.312
6.700;-2.666;5.886;9.181;-7.298
6.733;-2.331;5.723;10.56;-7.988
6.767;-1.962;5.354;10.38;-9.000
6.800;-1.638;5.123;9.692;-6.923
6.833;-1.315;4.892;9.692;-7.615
6.867;-0.992;4.615;11.08;-6.923
6.900;-0.577;4.431;9.692;-7.615
6.933;-0.346;4.108;9.000;-9.692
6.967;2.308E-2;3.785;11.08;-9.692
7.000;0.392;3.462;10.38;-7.615
7.033;0.715;3.277;9.692;-9.000
7.067;1.038;2.862;8.308;-9.692
7.100;1.269;2.631;9.692;-7.615
7.133;1.685;2.354;10.38;-9.692
7.167;1.962;1.985;8.308;-11.08
7.200;2.238;1.615;9.000;-9.000
7.233;2.562;1.385;10.38;-8.308
7.267;2.931;1.062;9.692;-10.38
7.300;3.208;0.692;9.000;-9.692
